host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathroom_share_or_not,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,bathrooms,Price,Pool,BabyBath,BabyMonitor,LakeAccess,BeachFront,Piano
0,1,1,2,40.80021,-73.96070999999999,0,6,0,3.0,3.0,4,1125,4,100.0,10.0,10.0,9.0,10.0,10.0,10.0,0,0.04,1,5,0,0,0,0,0,0
0,1,1,2,40.719609999999996,-73.9954,0,4,0,2.0,3.0,2,730,21,92.0,9.0,9.0,9.0,9.0,9.0,9.0,0,0.18,1,5,0,0,0,0,0,0
0,1,0,2,40.757490000000004,-73.96897,0,3,0,1.0,0.0,200,730,92,85.0,9.0,8.0,9.0,9.0,10.0,9.0,0,0.79,1,5,0,0,0,0,0,0
0,1,1,1,40.688,-73.9171,0,3,0,1.0,2.0,7,90,129,91.0,9.0,9.0,10.0,10.0,10.0,9.0,1,1.95,1,4,0,0,0,0,0,0
0,1,1,4,40.63536,-74.08537,2,2,1,1.0,1.0,2,365,213,89.0,9.0,9.0,10.0,10.0,9.0,9.0,0,1.8,1,4,0,0,0,0,0,0
0,1,1,4,40.63627,-74.08543,2,2,1,1.0,1.0,2,365,171,87.0,10.0,9.0,10.0,10.0,9.0,9.0,0,1.47,1,4,0,0,0,0,0,0
1,1,1,2,40.74238,-73.99566999999999,0,2,0,1.0,1.0,15,62,68,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.66,1,5,0,0,0,0,0,0
0,1,1,3,40.753840000000004,-73.91433,0,5,0,1.0,3.0,4,28,480,93.0,9.0,9.0,10.0,10.0,10.0,9.0,0,4.27,1,5,0,0,0,0,0,0
1,1,0,0,40.881,-73.83511,0,2,0,1.0,1.0,2,1125,44,98.0,10.0,10.0,10.0,10.0,9.0,9.0,0,0.49,1,5,0,0,0,0,0,0
0,1,1,1,40.682359999999996,-73.94314,0,2,0,1.0,1.0,2,1124,268,92.0,9.0,10.0,10.0,10.0,9.0,9.0,0,2.27,1,5,0,0,0,0,0,0
0,1,1,2,40.866479999999996,-73.9263,2,2,1,1.0,2.0,7,30,1,100.0,10.0,10.0,10.0,10.0,8.0,10.0,0,0.07,1,4,0,0,0,0,0,0
0,1,1,1,40.7069,-73.95467,2,1,1,1.0,3.0,29,730,14,98.0,10.0,9.0,10.0,10.0,9.0,9.0,0,0.12,1,4,0,0,0,0,0,0
0,1,1,2,40.72162,-73.9796,0,2,0,1.0,2.0,5,30,69,91.0,9.0,9.0,10.0,10.0,9.0,9.0,0,0.6,1,5,0,0,0,0,0,0
0,1,0,2,40.723209999999995,-73.98156999999999,2,2,1,1.0,1.0,1,1125,215,91.0,10.0,9.0,10.0,10.0,10.0,9.0,0,1.82,1,4,0,0,0,0,0,0
0,1,1,1,40.71069,-73.95175,0,2,0,1.0,1.0,10,300,55,93.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0.47,1,4,0,0,0,0,0,0
